ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
31,2143,associate's degree,55402,4,3.5,4
27,1906,high school,42596,3.5,3.2,5
31,2167,master's degree,82081,4,3.6,6
28,1974,associate's degree,57985,3.7,3.7,3
30,2072,high school,54232,3.9,3.7,7
30,2153,master's degree,113376,4,3.6,4
32,2242,some high school,36256,4,3.6,7
31,2103,some high school,43374,4,3.1,6
29,2040,associate's degree,69200,3.9,3,5
35,2212,associate's degree,69254,4,3.5,5
24,1776,some college,62296,3.2,3.2,4
31,2111,associate's degree,87593,4,3.9,5
32,2091,high school,80475,4,3.5,4
30,2075,master's degree,111315,4,4,4
30,2082,associate's degree,66204,4,3.2,5
26,1919,some high school,82299,3.5,3.4,4
29,1998,some high school,58569,3.7,3.5,3
27,1902,some high school,34521,3.7,3.1,6
26,1762,high school,77929,3.3,3.4,5
27,1916,some high school,36607,3.5,2.8,6
35,2236,associate's degree,78647,4,3.4,8
30,2049,high school,58447,3.9,3.3,5
28,2083,bachelor's degree,81826,3.9,3.7,3
27,1924,some high school,50872,3.6,3.3,5
33,2358,associate's degree,46552,4,3.8,4
31,2156,some high school,42471,4,3.6,4
29,1951,some college,68970,3.7,3.4,6
27,1949,some college,57898,3.6,3.4,4
26,1909,some high school,54431,3.3,3.3,5
30,2149,some college,54019,4,3.1,7
31,2217,associate's degree,90061,4,3.8,3
27,2028,some college,95274,3.7,3.2,5
31,2243,some college,91920,4,3.7,6
29,1996,some high school,56270,3.8,3.4,4
27,1837,some high school,50748,3.4,2.9,5
30,2051,some college,94305,4,3.6,5
26,1802,high school,55612,3.5,3.3,4
29,2004,associate's degree,74914,3.8,3.5,8
29,2143,some college,92354,3.9,3.2,6
29,2054,high school,71977,3.8,3.4,6
29,2030,high school,56359,3.8,3.2,4
22,1497,some high school,50419,2.6,2.9,5
34,2068,high school,63682,4,3.5,4
32,2282,associate's degree,89635,4,4,6
27,1974,high school,67396,3.5,3.4,4
30,2059,some high school,46009,4,3.2,8
30,2183,bachelor's degree,60180,4,3.1,5
28,1864,high school,31928,3.4,3,6
28,1965,high school,68949,3.7,3.3,5
25,1817,high school,73003,3.2,3.3,6
29,2064,master's degree,80766,3.8,3.2,7
24,1815,some high school,62738,3.2,3.3,8
36,2354,master's degree,67187,4,3.7,4
29,2182,bachelor's degree,65406,4,3.6,3
30,2009,bachelor's degree,88735,3.7,3.5,5
30,2108,high school,49260,3.9,3.3,5
31,2146,associate's degree,71572,4,3.3,4
23,1844,some high school,31094,3.3,3.3,4
27,1779,some high school,48412,3.2,2.8,7
28,1789,high school,72381,3.5,3.1,8
27,1801,some college,103538,3.5,3.1,7
25,1788,some college,56655,3.5,3.3,4
28,2066,some college,88219,3.9,3.5,4
28,2022,bachelor's degree,59710,3.8,3,7
