gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group D,high school,standard,none,51,56,54
female,group D,master's degree,free/reduced,none,57,61,65
male,group E,associate's degree,standard,completed,66,53,52
female,group C,some high school,free/reduced,none,48,54,59
male,group C,high school,standard,none,73,70,72
male,group C,high school,standard,completed,85,76,77
male,group C,some college,standard,completed,64,67,66
female,group D,some college,standard,none,64,76,69
male,group B,associate's degree,free/reduced,completed,36,47,41
male,group C,some college,free/reduced,completed,63,58,59
male,group A,bachelor's degree,standard,completed,71,70,72
male,group D,associate's degree,free/reduced,completed,82,88,85
female,group B,some college,free/reduced,none,48,59,51
female,group E,high school,standard,none,81,66,70
male,group C,bachelor's degree,standard,none,72,53,57
male,group C,master's degree,standard,none,76,68,69
male,group A,master's degree,standard,completed,77,84,80
male,group E,some college,standard,completed,82,79,78
female,group B,master's degree,standard,none,67,64,69
female,group E,high school,standard,none,74,78,80
female,group C,master's degree,standard,none,68,71,70
male,group D,some college,standard,none,90,76,84
male,group E,bachelor's degree,standard,none,75,71,60
male,group D,associate's degree,free/reduced,none,74,84,78
female,group E,bachelor's degree,standard,none,54,55,62
male,group A,high school,free/reduced,none,60,60,53
male,group E,bachelor's degree,standard,completed,79,72,76
female,group C,some college,free/reduced,none,43,49,51
male,group D,associate's degree,standard,none,92,74,76
male,group A,associate's degree,standard,none,60,65,58
female,group B,associate's degree,free/reduced,completed,61,79,77
male,group C,associate's degree,standard,none,92,87,86
male,group B,high school,standard,none,81,80,74
female,group B,associate's degree,free/reduced,none,33,36,34
female,group C,high school,free/reduced,none,32,46,41
female,group A,some college,standard,completed,72,77,89
female,group C,some high school,standard,none,75,80,79
female,group B,some high school,standard,none,53,56,57
male,group D,high school,standard,completed,71,69,78
male,group D,some college,standard,none,56,60,55
male,group D,associate's degree,standard,none,72,64,62
female,group D,some college,standard,completed,92,93,98
female,group D,bachelor's degree,standard,none,70,85,80
male,group C,some high school,free/reduced,completed,60,59,60
female,group B,some high school,free/reduced,none,68,78,78
female,group C,associate's degree,standard,none,54,56,60
male,group B,bachelor's degree,free/reduced,none,40,48,43
female,group E,some college,standard,completed,100,100,100
male,group B,high school,standard,completed,80,67,66
female,group D,associate's degree,standard,none,68,76,74
male,group D,some high school,free/reduced,none,57,64,56
male,group B,some high school,standard,none,58,45,43
female,group C,high school,free/reduced,none,28,45,41
female,group E,associate's degree,standard,none,74,81,73
male,group E,high school,standard,completed,56,51,47
female,group C,some high school,standard,none,47,65,58
male,group C,bachelor's degree,free/reduced,none,64,57,50
male,group D,master's degree,standard,completed,100,100,100
male,group B,associate's degree,free/reduced,completed,78,73,74
female,group B,associate's degree,standard,none,76,83,82
female,group C,some high school,standard,none,68,67,70
female,group C,associate's degree,standard,none,58,61,66
male,group C,high school,standard,none,71,64,63
male,group D,some high school,free/reduced,none,48,49,46
female,group C,associate's degree,standard,none,75,78,78
male,group C,some college,standard,none,49,37,36
female,group D,bachelor's degree,standard,completed,42,64,62
female,group C,some college,standard,none,58,70,72
male,group B,associate's degree,standard,completed,69,75,71
male,group B,high school,free/reduced,completed,63,66,64
female,group E,bachelor's degree,free/reduced,none,85,98,91
female,group B,some college,standard,none,80,82,80
female,group B,some high school,standard,completed,55,73,70
male,group C,high school,standard,completed,89,96,86
male,group C,associate's degree,standard,none,61,64,56
male,group C,high school,standard,completed,70,63,67
female,group E,associate's degree,standard,none,80,84,79
female,group C,bachelor's degree,standard,none,84,90,87
female,group D,high school,standard,none,60,70,66
female,group D,associate's degree,free/reduced,none,61,74,75
male,group B,some high school,standard,none,64,61,58
female,group D,associate's degree,standard,none,64,67,59
male,group D,bachelor's degree,free/reduced,completed,68,81,78
female,group A,bachelor's degree,free/reduced,completed,49,65,63
female,group D,associate's degree,free/reduced,none,66,90,79
male,group B,high school,free/reduced,completed,47,39,43
male,group B,some college,free/reduced,completed,39,43,40
male,group B,some high school,standard,completed,58,47,49
male,group D,high school,standard,none,90,84,77
female,group B,master's degree,standard,none,59,60,62
female,group D,bachelor's degree,standard,none,74,93,86
male,group E,high school,free/reduced,none,88,81,73
male,group D,associate's degree,free/reduced,completed,62,67,64
male,group E,high school,standard,completed,99,89,96
female,group B,some college,standard,completed,69,67,73
male,group D,high school,standard,none,69,56,64
male,group D,some college,standard,none,89,80,76
female,group C,high school,standard,completed,85,97,95
female,group D,associate's degree,standard,none,86,96,97
male,group C,some college,standard,completed,77,69,70
male,group B,high school,free/reduced,none,48,49,45
male,group B,high school,standard,completed,65,58,63
male,group C,associate's degree,standard,none,45,42,42
male,group E,some high school,standard,none,79,71,62
female,group C,bachelor's degree,standard,none,64,67,63
male,group E,master's degree,standard,none,89,90,86
female,group E,associate's degree,free/reduced,none,58,52,57
male,group D,high school,standard,completed,74,71,67
female,group E,some college,free/reduced,none,70,77,72
male,group D,associate's degree,standard,none,78,71,74
female,group B,associate's degree,free/reduced,none,68,87,87
male,group C,bachelor's degree,standard,none,53,47,38
male,group C,some high school,standard,completed,72,68,69
male,group C,bachelor's degree,standard,completed,73,60,60
female,group D,associate's degree,free/reduced,none,59,69,72
female,group B,high school,standard,none,60,71,66
female,group A,some college,free/reduced,completed,81,95,93
male,group B,high school,free/reduced,none,70,72,64
female,group D,master's degree,standard,completed,87,97,100
male,group C,associate's degree,standard,none,96,84,79
male,group D,associate's degree,standard,none,74,66,62
